Business Type,Business Type ID,Required Documents
Restaurant,BT_RESTAURANT,"Alcohol Beverage License, Certificate of Incorporation, Certified Food Protection Manager (CFPM), Entertainment Permit, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Fast Food Restaurant,BT_FAST_FOOD_RESTAURANT,"Alcohol Beverage License, Certificate of Incorporation, Certified Food Protection Manager (CFPM), Entertainment Permit, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Bakery,BT_BAKERY,"Alcohol Beverage License, Certificate of Incorporation, Certified Food Protection Manager (CFPM), Entertainment Permit, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Cafe,BT_CAFE,"Alcohol Beverage License, Certificate of Incorporation, Certified Food Protection Manager (CFPM), Entertainment Permit, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Bar,BT_BAR,"Alcohol Beverage License, Certificate of Incorporation, Certified Food Protection Manager (CFPM), Entertainment Permit, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Food Truck,BT_FOOD_TRUCK,"Alcohol Beverage License, Certificate of Incorporation, Certified Food Protection Manager (CFPM), Entertainment Permit, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Catering Business,BT_CATERING_BUSINESS,"Alcohol Beverage License, Certificate of Incorporation, Certified Food Protection Manager (CFPM), Entertainment Permit, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Ice Cream Shop,BT_ICE_CREAM_SHOP,"Alcohol Beverage License, Certificate of Incorporation, Certified Food Protection Manager (CFPM), Entertainment Permit, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Juice Bar,BT_JUICE_BAR,"Alcohol Beverage License, Certificate of Incorporation, Certified Food Protection Manager (CFPM), Entertainment Permit, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Commercial Kitchen,BT_COMMERCIAL_KITCHEN,"Alcohol Beverage License, Certificate of Incorporation, Certified Food Protection Manager (CFPM), Entertainment Permit, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
